Tahun,Bulan,Rata_Harga_Tutup,Harga_Bulan_Lalu,Perubahan_Persen,Fase_Geopolitik
2024,4,7162.36,,,Era Perang (Apr 2024 - Sekarang)
2024,5,7154.31,7162.36,-0.11,Era Perang (Apr 2024 - Sekarang)
2024,6,6904.72,7154.31,-3.49,Era Perang (Apr 2024 - Sekarang)
2024,7,7257.74,6904.72,5.11,Era Perang (Apr 2024 - Sekarang)
2024,8,7416.76,7257.74,2.19,Era Perang (Apr 2024 - Sekarang)
2024,9,7739.8,7416.76,4.36,Era Perang (Apr 2024 - Sekarang)
2024,10,7621.07,7739.8,-1.53,Era Perang (Apr 2024 - Sekarang)
2024,11,7269.29,7621.07,-4.62,Era Perang (Apr 2024 - Sekarang)
2024,12,7216.04,7269.29,-0.73,Era Perang (Apr 2024 - Sekarang)
2025,1,7117.45,7216.04,-1.37,Era Perang (Apr 2024 - Sekarang)
2025,2,6730.65,7117.45,-5.43,Era Perang (Apr 2024 - Sekarang)
2025,3,6457.06,6730.65,-4.06,Era Perang (Apr 2024 - Sekarang)
2025,4,6454.92,6457.06,-0.03,Era Perang (Apr 2024 - Sekarang)
2025,5,7034.22,6454.92,8.97,Era Perang (Apr 2024 - Sekarang)
2025,6,7038.14,7034.22,0.06,Era Perang (Apr 2024 - Sekarang)
2025,7,7214.08,7038.14,2.5,Era Perang (Apr 2024 - Sekarang)
2025,8,7763.64,7214.08,7.62,Era Perang (Apr 2024 - Sekarang)
2025,9,7932.52,7763.64,2.18,Era Perang (Apr 2024 - Sekarang)
2025,10,8145.75,7932.52,2.69,Era Perang (Apr 2024 - Sekarang)
2025,11,8411.22,8145.75,3.26,Era Perang (Apr 2024 - Sekarang)
2025,12,8635.07,8411.22,2.66,Era Perang (Apr 2024 - Sekarang)
2026,1,8867.45,8635.07,2.69,Era Perang (Apr 2024 - Sekarang)
2026,2,8193.85,8867.45,-7.6,Era Perang (Apr 2024 - Sekarang)
2026,3,7372.31,8193.85,-10.03,Era Perang (Apr 2024 - Sekarang)
2026,4,7184.44,7372.31,-2.55,Era Perang (Apr 2024 - Sekarang)
