Tahun,Bulan,Harga_Tutup_Rata2,Persentase_Pertumbuhan,Fase_Geopolitik
2023,1,6768.61,,Sebelum Perang
2023,2,6885.58,1.73,Sebelum Perang
2023,3,6748.64,-1.99,Sebelum Perang
2023,4,6831.37,1.23,Sebelum Perang
2023,5,6735.19,-1.41,Sebelum Perang
2023,6,6673.74,-0.91,Sebelum Perang
2023,7,6826.16,2.28,Sebelum Perang
2023,8,6899.06,1.07,Sebelum Perang
2023,9,6967.65,0.99,Sebelum Perang
2023,10,6861.98,-1.52,Sebelum Perang
2023,11,6909.09,0.69,Sebelum Perang
2023,12,7162.59,3.67,Sebelum Perang
2024,1,7238.07,1.05,Sebelum Perang
2024,2,7284.16,0.64,Sebelum Perang
2024,3,7339.2,0.76,Sebelum Perang
2024,4,7165.03,-2.37,Era Perang (Apr 2024 - Sekarang)
2024,5,7154.31,-0.15,Era Perang (Apr 2024 - Sekarang)
2024,6,6904.72,-3.49,Era Perang (Apr 2024 - Sekarang)
2024,7,7257.74,5.11,Era Perang (Apr 2024 - Sekarang)
2024,8,7416.76,2.19,Era Perang (Apr 2024 - Sekarang)
2024,9,7739.8,4.36,Era Perang (Apr 2024 - Sekarang)
2024,10,7621.07,-1.53,Era Perang (Apr 2024 - Sekarang)
2024,11,7269.29,-4.62,Era Perang (Apr 2024 - Sekarang)
2024,12,7216.04,-0.73,Era Perang (Apr 2024 - Sekarang)
2025,1,7117.45,-1.37,Era Perang (Apr 2024 - Sekarang)
2025,2,6730.65,-5.43,Era Perang (Apr 2024 - Sekarang)
2025,3,6457.06,-4.06,Era Perang (Apr 2024 - Sekarang)
2025,4,6454.92,-0.03,Era Perang (Apr 2024 - Sekarang)
2025,5,7034.22,8.97,Era Perang (Apr 2024 - Sekarang)
2025,6,7038.14,0.06,Era Perang (Apr 2024 - Sekarang)
2025,7,7214.08,2.5,Era Perang (Apr 2024 - Sekarang)
2025,8,7763.64,7.62,Era Perang (Apr 2024 - Sekarang)
2025,9,7932.52,2.18,Era Perang (Apr 2024 - Sekarang)
2025,10,8145.75,2.69,Era Perang (Apr 2024 - Sekarang)
2025,11,8411.22,3.26,Era Perang (Apr 2024 - Sekarang)
2025,12,8635.07,2.66,Era Perang (Apr 2024 - Sekarang)
2026,1,8867.45,2.69,Era Perang (Apr 2024 - Sekarang)
2026,2,8193.85,-7.6,Era Perang (Apr 2024 - Sekarang)
2026,3,7372.31,-10.03,Era Perang (Apr 2024 - Sekarang)
2026,4,7105.61,-3.62,Era Perang (Apr 2024 - Sekarang)
